"","Scenario","Standard","theta","rho","tau","mtot","Ktot","s","w","mfirst","mmid","Kfirst","Kmid","totvar","power"
"1",1,"y",1,0.02,1,120,93,0.25,0.333333333333333,30,30,31,31,114.49,0.812636181460999
"2",2,"y",1,0.02,0.5,120,96,0.25,0.333333333333333,30,30,32,32,114.49,0.90691470717223
"3",3,"y",1,0.05,1,120,96,0.25,0.333333333333333,30,30,32,32,114.49,0.805413871789227
"4",4,"y",1,0.05,0.5,120,111,0.25,0.333333333333333,30,30,37,37,114.49,0.930083788154548
"5",5,"y",1.25,0.02,1,120,60,0.25,0.333333333333333,30,30,20,20,114.49,0.815703467895252
"6",6,"y",1.25,0.02,0.5,120,63,0.25,0.333333333333333,30,30,21,21,114.49,0.913621283998083
"7",7,"y",1.25,0.05,1,120,63,0.25,0.333333333333333,30,30,21,21,114.49,0.815063022651603
"8",8,"y",1.25,0.05,0.5,120,72,0.25,0.333333333333333,30,30,24,24,114.49,0.933135301744524
"9",9,"y",1.5,0.02,1,120,42,0.25,0.333333333333333,30,30,14,14,114.49,0.818727257474061
"10",10,"y",1.5,0.02,0.5,120,45,0.25,0.333333333333333,30,30,15,15,114.49,0.92080973609871
"11",11,"y",1.5,0.05,1,120,45,0.25,0.333333333333333,30,30,15,15,114.49,0.825680308156048
"12",12,"y",1.5,0.05,0.5,120,51,0.25,0.333333333333333,30,30,17,17,114.49,0.93748273192611
"13",13,"n",1,0.02,1,120,72,0.0833333333333333,0.333333333333333,10,50,24,24,114.49,0.804102696346689
"14",14,"n",1,0.02,0.5,120,75,0.0833333333333333,0.333333333333333,10,50,25,25,114.49,0.962752679908563
"15",15,"n",1,0.05,1,120,84,0.0833333333333333,0.333333333333333,10,50,28,28,114.49,0.802642489116836
"16",16,"n",1,0.05,0.5,120,99,0.0833333333333333,0.333333333333333,10,50,33,33,114.49,0.986982110964934
"17",17,"n",1.25,0.02,1,120,48,0.0833333333333333,0.333333333333333,10,50,16,16,114.49,0.819757723499302
"18",18,"n",1.25,0.02,0.5,120,48,0.0833333333333333,0.333333333333333,10,50,16,16,114.49,0.962752679908559
"19",19,"n",1.25,0.05,1,120,54,0.0833333333333333,0.333333333333333,10,50,18,18,114.49,0.804378544071808
"20",20,"n",1.25,0.05,0.5,120,63,0.0833333333333333,0.333333333333333,10,50,21,21,114.49,0.986577688154378
"21",21,"n",1.5,0.02,1,120,33,0.0833333333333333,0.333333333333333,10,50,11,11,114.49,0.815948928403996
"22",22,"n",1.5,0.02,0.5,120,33,0.0833333333333333,0.333333333333333,10,50,11,11,114.49,0.961201199726635
"23",23,"n",1.5,0.05,1,120,39,0.0833333333333333,0.333333333333333,10,50,13,13,114.49,0.819420704696027
"24",24,"n",1.5,0.05,0.5,120,45,0.0833333333333333,0.333333333333333,10,50,15,15,114.49,0.988486144049481
